Generation;Avg Rock;Avg Paper;Avg Scissor;Best Rock;Best Paper;Best Scissor;LOD Rock;LOD Paper;LOD Scissor
196;0.302144;0.358494;0.339362;0.412707;0.40759;0.179702;0.173568;0.627653;0.198779
197;0.287014;0.356308;0.356678;0.252894;0.576031;0.171075;0.451969;0.416215;0.131816
198;0.308578;0.32714;0.364282;0.327821;0.182259;0.489921;0.472724;0.389406;0.13787
199;0.336865;0.333065;0.33007;0.495337;0.210545;0.294118;0.606998;0.215971;0.177031
200;0.330737;0.320024;0.349239;0.523603;0.129242;0.347156;0.390176;0.496029;0.113795
201;0.299056;0.332522;0.368422;0.545512;0.00125167;0.453236;0.50839;0.399875;0.0917357
202;0.320799;0.318732;0.360469;0.453859;0.0820803;0.46406;0.451044;0.35477;0.194186
203;0.324743;0.315834;0.359423;0.433937;0.0850745;0.480989;0.620317;0.245375;0.134308
204;0.342909;0.303775;0.353316;0.330632;0.0544516;0.614917;0.653616;0.204867;0.141518
205;0.348496;0.301912;0.349592;0.555772;0.111935;0.332292;0.439329;0.46555;0.0951213
206;0.337079;0.321087;0.341833;0.457025;0.542936;3.91642e-05;0.316316;0.335195;0.348489
207;0.336003;0.312782;0.351215;0.416837;0.356967;0.226196;0.528063;0.23138;0.240557
208;0.339189;0.319901;0.340911;0.293624;0.257133;0.449243;0.375558;0.453358;0.171084
209;0.345274;0.320912;0.333814;0.328457;0.204653;0.46689;0.417086;0.423208;0.159706
210;0.329357;0.31797;0.352673;0.411479;0.41505;0.173471;0.286176;0.604245;0.109579
211;0.326953;0.322612;0.350436;0.473259;0.0973775;0.429363;0.247275;0.658041;0.0946838
212;0.339019;0.28983;0.371151;0.703136;0.0301056;0.266759;0.137453;0.365786;0.496761
213;0.321523;0.307774;0.370703;0.573452;0.270523;0.156025;0.429031;0.242135;0.328835
214;0.322759;0.313957;0.363284;0.228071;0.0327841;0.739145;0.432438;0.244058;0.323505
215;0.334063;0.322778;0.343159;0.600876;0.26182;0.137304;0.273956;0.521098;0.204945
216;0.347628;0.326238;0.326134;0.0867282;0.621492;0.29178;0.214653;0.624765;0.160581
217;0.341968;0.328619;0.329412;0.190046;0.768342;0.0416121;0.230204;0.597582;0.172214
218;0.361168;0.318082;0.32075;0.538237;0.322793;0.13897;0.146053;0.379136;0.474811
219;0.349753;0.31784;0.332407;0.367373;0.33845;0.294177;0.500394;0.221815;0.277791
220;0.331835;0.338361;0.329805;0.113656;0.325004;0.56134;0.333323;0.481634;0.185042
221;0.355983;0.342015;0.302001;0.545481;0.358757;0.0957622;0.347911;0.471096;0.180994
222;0.355905;0.316645;0.327451;0.590325;0.402782;0.00689256;0.231306;0.313205;0.455488
223;0.349424;0.329204;0.321371;0.190247;0.21322;0.596533;0.192814;0.427496;0.37969
224;0.32189;0.346068;0.332042;0.210667;0.188229;0.601104;0.246545;0.267959;0.485496
225;0.31951;0.340092;0.340398;0.337796;0.52295;0.139255;0.249196;0.27084;0.479964
226;0.320461;0.322483;0.357056;0.360015;0.54735;0.0926345;0.412322;0.211995;0.375683
227;0.329668;0.317028;0.353304;0.482162;0.235682;0.282156;0.303322;0.155953;0.540725
228;0.341489;0.341218;0.317293;0.182288;0.729555;0.0881564;0.37157;0.191042;0.437388
229;0.346451;0.329579;0.32397;0.309992;0.410127;0.279881;0.39693;0.204081;0.398988
230;0.338341;0.344586;0.317072;0.17467;0.501086;0.324244;0.257707;0.48325;0.259043
231;0.338718;0.342112;0.31917;0.450383;0.336683;0.212934;0.263367;0.493863;0.24277
232;0.306474;0.349359;0.344166;0.20579;0.057949;0.736261;0.229227;0.559472;0.211301
233;0.297223;0.354735;0.348042;0.287667;0.201641;0.510692;0.0911898;0.659668;0.249143
234;0.319934;0.354685;0.325382;0.204568;0.271939;0.523493;0.0636018;0.460096;0.476302
235;0.321022;0.347426;0.331551;0.124671;0.435342;0.439987;0.0948439;0.194888;0.710269
236;0.316708;0.348509;0.334783;0.367936;0.164086;0.467978;0.364089;0.136917;0.498994
237;0.335904;0.325911;0.338185;0.305792;0.211906;0.482302;0.259166;0.159508;0.581327
238;0.347033;0.325527;0.327441;0.261725;0.374083;0.364192;0.241704;0.216137;0.542159
239;0.322761;0.336601;0.340639;0.256399;0.677328;0.0662736;0.497465;0.143237;0.359298
240;0.318789;0.344145;0.337067;0.598241;0.344451;0.057308;0.00495261;0.283618;0.711429
241;0.324401;0.325934;0.349665;0.210668;0.117233;0.672098;0.00411267;0.235518;0.76037
